Unnamed: 0,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1250955,172.31.69.25-18.219.193.20-80-53836-6,18.219.193.20,53836,172.31.69.25,80,6,16/02/2018 11:23:48 PM,50547,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.350703305834166,25273.5,22787.930237298868,41387.0,9160.0,9160.0,9160.0,0.0,9160.0,9160.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,39.56713553722278,19.78356776861139,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,225,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
730756,172.31.69.28-18.218.11.51-80-59755-6,18.218.11.51,59755,172.31.69.28,80,6,22/02/2018 12:05:31 AM,3196,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.7822277847309,3196.0,0.0,3196.0,3196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,312.89111389236547,312.89111389236547,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
757244,172.31.69.25-18.219.193.20-80-43514-6,18.219.193.20,43514,172.31.69.25,80,6,16/02/2018 11:20:08 PM,3951,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.2009617818274,3951.0,0.0,3951.0,3951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,253.1004808909137,253.1004808909137,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,225,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
1866050,172.31.69.25-18.219.193.20-80-58372-6,172.31.69.25,80,18.219.193.20,58372,6,16/02/2018 11:15:31 PM,5381040,4,4,935.0,323.0,935.0,0.0,233.75,467.50000000000006,323.0,0.0,80.75,161.5,233.783803874344,1.4867014554807252,768720.0,2010431.6574797232,5327735.0,5.0,53298.0,17766.0,30358.31991398733,52820.0,38.0,5380557.0,1793519.0,3060832.759498141,5327735.0,236.0,0,0,0,0,136,136,0.7433507277403625,0.7433507277403625,0.0,935.0,139.77777777777777,316.76362550716647,100339.19444444444,0,0,0,0,1,0,0,0,1.0,157.25,233.75,80.75,0,0,0,0,0,0,4,935,4,323,-1,211,1,0,0.0,0.0,0.0,0.0,5327735.0,0.0,5327735.0,5327735.0,ddos
311024,172.31.69.25-18.218.55.126-80-58483-6,18.218.55.126,58483,172.31.69.25,80,6,20/02/2018 11:05:26,1052865,3,4,20.0,964.0,20.0,0.0,6.666666667,11.54700538,964.0,0.0,241.0,482.0,934.5927541,6.648525689,175477.5,429610.8903,1052417.0,2.0,416.0,208.0,291.3279938,414.0,2.0,1052852.0,350950.6667,607487.6963,1052417.0,21.0,0,0,0,0,72,92,2.849368153,3.799157537,0.0,964.0,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1.0,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
353693,172.31.69.25-18.219.9.1-80-61056-6,18.219.9.1,61056,172.31.69.25,80,6,20/02/2018 11:10:06,1308391,3,4,20.0,964.0,20.0,0.0,6.666666667,11.54700538,964.0,0.0,241.0,482.0,752.0687623,5.350082659,218065.1667,533957.3481,1308001.0,2.0,371.0,185.5,259.5081887,369.0,2.0,1308387.0,436129.0,755063.3216,1308001.0,16.0,0,0,0,0,72,92,2.292892568,3.0571900910000003,0.0,964.0,123.0,339.8873763,115523.4286,0,0,1,1,0,0,0,1,1.0,140.5714286,6.666666667,241.0,0,0,0,0,0,0,3,20,4,964,8192,211,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
889864,172.31.69.28-18.218.11.51-80-59426-6,18.218.11.51,59426,172.31.69.28,80,6,22/02/2018 12:13:13 AM,984,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032.520325203252,984.0,0.0,984.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,1016.260162601626,1016.260162601626,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
1867546,172.31.69.25-18.219.193.20-80-33194-6,172.31.69.25,80,18.219.193.20,33194,6,16/02/2018 11:15:32 PM,5468914,4,4,935.0,374.0,935.0,0.0,233.75,467.50000000000006,374.0,0.0,93.5,187.0,239.3528221507964,1.4628132751767535,781273.4285714286,2045079.084869324,5418922.0,2.0,49985.0,16661.666666666664,25338.66859827749,45824.0,27.0,5464751.0,1821583.6666666665,3115468.642164824,5418922.0,275.0,0,0,0,0,136,136,0.7314066375883768,0.7314066375883768,0.0,935.0,145.44444444444446,320.8804727274282,102964.27777777777,0,0,0,0,1,0,0,0,1.0,163.625,233.75,93.5,0,0,0,0,0,0,4,935,4,374,-1,211,1,0,0.0,0.0,0.0,0.0,5418922.0,0.0,5418922.0,5418922.0,ddos
147842,172.31.69.28-18.218.55.126-80-61829-6,18.218.55.126,61829,172.31.69.28,80,6,21/02/2018 11:44:15 PM,11251,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.76197671318104,11251.0,0.0,11251.0,11251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,88.88098835659052,88.88098835659052,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,32738,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
2800454,172.31.69.25-18.219.193.20-80-36140-6,172.31.69.25,80,18.219.193.20,36140,6,16/02/2018 11:22:16 PM,4588635,4,4,935.0,378.0,935.0,0.0,233.75,467.50000000000006,378.0,0.0,94.5,189.0,286.14173931899137,1.7434378633297265,655519.2857142857,1714719.4855737302,4543998.0,4.0,44632.0,14877.333333333332,21907.69865443044,40038.0,27.0,4584037.0,1528012.3333333335,2611994.4769582367,4543998.0,322.0,0,0,0,0,136,136,0.8717189316648633,0.8717189316648633,0.0,935.0,145.88888888888889,321.23918053548687,103194.61111111114,0,0,0,0,1,0,0,0,1.0,164.125,233.75,94.5,0,0,0,0,0,0,4,935,4,378,-1,211,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ddos
